address,area,price
都市恬园-海沧生活区,海沧,3500
天成花园-江头,湖里,1750
尚青春国际公寓-火车站,思明,1399
金鸡亭花园小区-金鸡亭,思明,4600
山木清华-莲前,思明,3400
山木清华-莲前,思明,3200
卧龙部队房-莲前西路,思明,1200
山水庭院-东浦路,思明,1600
怡富花园-莲前西路,思明,4800
金龙苑-莲前西路,思明,3500
龙山居-莲前西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,1700
嘉盛豪园（莲前）-莲前西路,思明,1700
南兴综合楼-莲前西路,思明,3200
龙山居-莲前西路,思明,3200
卧龙晓城-莲前西路,思明,3800
金磊花园-莲前西路,思明,5000
侨福城2期-莲前西路,思明,3600
怡富花园-莲前西路,思明,3800
南兴综合楼-莲前西路,思明,2700
怡富花园一期-莲前西路,思明,5000
卧龙晓城-莲前西路,思明,3800
山木清华-莲前,思明,3200
山木清华-莲前,思明,3500
金鸡亭花园小区-金鸡亭,思明,3900
金鸡亭花园小区-金鸡亭,思明,4500
金鸡亭花园小区-金鸡亭,思明,3700
金鸡亭西里-莲前西路,思明,3700
山木清华-莲前,思明,5500
山木清华-莲前,思明,4400
明发城-前埔北区,思明,1200
屿后南里122-171号小区-松柏,思明,3500
山木清华-莲前,思明,3500
山木清华-莲前,思明,3200
龙山山庄-莲前西路,思明,3200
明发园-软件园,思明,1200
万泰东方-观音山,思明,4350
香山海景苑-前埔南区,思明,1550
金鸡亭花园小区-金鸡亭,思明,3900
莲坂西小区-富山,思明,3600
怡祥花园-湖滨北路,思明,4900
莲坂西小区-富山,思明,3500
宝龙中心-松柏,思明,4500
文兴东三里-前埔南区,思明,4800
岭兜小区-前埔南区,思明,4500
岭兜佳园-前埔南区,思明,6000
岭兜佳园-前埔南区,思明,3800
岭兜佳园-前埔南区,思明,3800
金鸡亭花园小区-金鸡亭,思明,4200
金鸡亭花园小区-金鸡亭,思明,3400
山木清华-莲前,思明,4500
山木清华-莲前,思明,4500
山木清华-莲前,思明,4200
金磊花园-金鸡亭,思明,4500
莲成大厦-莲前西路,思明,3800
卧龙晓城-莲前西路,思明,4200
卧龙晓城-莲前西路,思明,3100
山木清华-莲前,思明,4500
蒲南花园-莲前西路,思明,3200
香榭园-莲前西路,思明,4200
山木清华-莲前,思明,3300
金鸡亭-莲前西路,思明,3800
莲成大厦-莲前西路,思明,3500
云亭花园-莲前西路,思明,2900
怡富花园-莲前西路,思明,1500
山木清华-莲前,思明,3200
金鸡亭花园小区-莲前西路,思明,3400
金鸡亭花园小区-金鸡亭,思明,3500
金鸡亭花园小区-金鸡亭,思明,3500
源昌山庄-莲前西路,思明,12000
金鸡亭花园小区-金鸡亭,思明,3500
长青路430-431号小区-富山,思明,5000
长青路430-431号小区-富山,思明,5000
长青路430-437号小区-富山,思明,3200
长升大厦-长青路,思明,2400
龙山山庄-莲前西路,思明,3200
龙山山庄-莲前西路,思明,3800
西林社区-莲前西路,思明,1300
长青路430-437号小区-富山,思明,3200
长升大厦-长青路,思明,2400
龙山山庄-莲前西路,思明,3200
龙山山庄-莲前西路,思明,3800
西林社区-莲前西路,思明,1300
嘉盛豪园（莲前）-莲前西路,思明,1650
岭兜佳园-前埔南区,思明,1800
岭兜佳园-前埔南区,思明,4500
金鸡亭花园小区-金鸡亭,思明,4200
怡祥大厦-松柏,思明,6500
金鸡亭花园小区-金鸡亭,思明,3300
舒心阳光公寓-莲前东路,思明,1500
舒心阳光公寓-莲前东路,思明,1450
舒心阳光公寓-前埔北区,思明,1600
舒心阳光公寓-会展路,思明,1550
舒心阳光公寓-前埔北区,思明,1500
中山晶品公寓-中山路,思明,1500
环岛南路溪头下-环岛路,思明,25000
嘉滨里-松柏,思明,3200
宝华花园-湖滨北路,思明,3600
信和上筑-嘉禾路,思明,4500
怡祥花园-松柏,思明,4200
宝龙中心一期-松柏,思明,5500
宝华花园思明-湖滨北路,思明,4000
永升花园-松柏,思明,4500
宝龙中心二期-湖滨北路,思明,5300
明丰财富中心-前埔南区,思明,1900
山木清华-莲前,思明,3500
龙山山庄-莲前西路,思明,4200
龙山山庄-莲前西路,思明,3200
卧龙晓城-莲前西路,思明,3300
黄厝-黄厝,思明,998
岭兜佳园-前埔南区,思明,1550
金鸡亭花园小区-金鸡亭,思明,3300
嘉华大厦-长青路,思明,5600
江头长青K小区-松柏,思明,4500
永升花园-松柏,思明,7500
怡祥大厦-松柏,思明,4500
信和上筑-嘉禾路,思明,6800
源昌山庄-莲前西路,思明,13000
莲坂西小区-富山,思明,3800
宝华花园-湖滨北路,思明,3800
莲坂西小区-富山,思明,3900
华天花园-嘉禾路,思明,6000
万泰东方-观音山,思明,4350
塔埔社区-观音山,思明,2700
明丰财富中心-软件园,思明,1500
岭兜佳园-前埔南区,思明,1600
明发园-前埔北区,思明,1650
观音山公寓-观音山,思明,2500
岭兜佳园-前埔南区,思明,1500
国贸怡河园-松柏,思明,5500
华天花园-嘉禾路,思明,7000
华天花园-嘉禾路,思明,6500
荣滨大厦-松柏,思明,4600
东方明珠广场-莲花一村,思明,5000
长青北里-松柏,思明,3200
岭兜佳园-前埔南区,思明,3400
永升华庭-松柏,思明,9888
莲坂西小区-富山,思明,3700
电业花园-富山,思明,4200
莲坂小区-长青路,思明,3400
莲岳里-白城,思明,4200
宝达大厦-嘉禾路,思明,5700
联谊广场-富山,思明,3700
金鸡亭花园小区-金鸡亭,思明,4300
明发园-前埔北区,思明,4200
香山海景苑-前埔南区,思明,4500
明丰财富中心-前埔南区,思明,1700
岭兜佳园-前埔南区,思明,1550
岭兜佳园-前埔南区,思明,2000
明丰财富中心-软件园,思明,4000
洪山柄北区-莲前西路,思明,3600
嘉盛豪园（莲前）-莲前西路,思明,2200
玉成豪园-莲前西路,思明,2900
嘉盛豪园-瑞景,思明,2400
嘉盛豪园（莲前）-莲前西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,2200
金鸡亭花园小区-金鸡亭,思明,3800
民盛商厦-瑞景,思明,1400
玉成豪园-莲前西路,思明,1750
嘉盛豪园-瑞景,思明,5200
龙山居-莲前西路,思明,2200
玉成豪园-莲前西路,思明,1500
瑞景双座-莲前东路,思明,2400
嘉盛豪园（莲前）-莲前西路,思明,5000
嘉盛豪园-瑞景,思明,2600
嘉盛豪园（莲前）-莲前西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,5000
嘉盛豪园-瑞景,思明,2000
玉成豪园-莲前西路,思明,1750
嘉盛豪园-瑞景,思明,5200
龙山居-莲前西路,思明,2200
玉成豪园-莲前西路,思明,1500
瑞景双座-莲前东路,思明,2400
嘉盛豪园（莲前）-莲前西路,思明,5000
嘉盛豪园-瑞景,思明,2600
嘉盛豪园（莲前）-莲前西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,5000
嘉盛豪园-瑞景,思明,2000
金鸡亭花园小区-金鸡亭,思明,3800
嘉盛豪园（莲前）-莲前西路,思明,1400
嘉盛豪园（莲前）-莲前西路,思明,2400
玉成豪园-莲前西路,思明,2800
嘉盛豪园-瑞景,思明,4500
嘉盛豪园-瑞景,思明,1200
玉成豪园-莲前西路,思明,1900
嘉盛豪园-瑞景,思明,4500
嘉盛豪园（莲前）-莲前西路,思明,2500
明发宿舍楼-莲前西路,思明,3200
嘉盛豪园（莲前）-莲前西路,思明,6500
龙山居-莲前西路,思明,2800
洪山柄北区-莲前西路,思明,3200
洪山柄北区-莲前西路,思明,2000
洪山柄北区-莲前西路,思明,3800
嘉盛豪园（莲前）-莲前西路,思明,1500
嘉盛豪园（莲前）-莲前西路,思明,2700
嘉盛豪园-瑞景,思明,5000
嘉盛豪园（莲前）-莲前西路,思明,1400
嘉盛豪园-瑞景,思明,4800
嘉盛豪园（莲前）-莲前西路,思明,2000
嘉盛豪园（莲前）-莲前西路,思明,3200
洪山柄北区-莲前西路,思明,3200
嘉盛豪园（莲前）-莲前西路,思明,6000
洪山柄北区-莲前西路,思明,3800
玉成豪园-莲前西路,思明,5800
明发楼-莲前西路,思明,3200
嘉盛豪园（莲前）-莲前西路,思明,2400
嘉盛豪园（莲前）-莲前西路,思明,2200
嘉盛豪园（莲前）-莲前西路,思明,1500
洪山柄北区-莲前西路,思明,3500
明发楼-思明西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,1500
明发园-软件园,思明,1600
玉成豪园-莲前西路,思明,1900
洪山柄北区-莲前西路,思明,3500
嘉盛豪园（莲前）-莲前西路,思明,2800
嘉盛豪园-莲前东路,思明,5200
联丰新城-瑞景,思明,3800
嘉盛豪园（莲前）-莲前西路,思明,2800
洪山柄北区-莲前西路,思明,3000
嘉盛豪园（莲前）-莲前西路,思明,1200
嘉盛豪园（莲前）-莲前西路,思明,2200
明发楼-莲前西路,思明,3400
龙山居-莲前西路,思明,2800
屿后里-松柏,思明,3600
金榜大厦-厦禾路,思明,1400
嘉盛豪园-瑞景,思明,1550
嘉盛豪园-瑞景,思明,2300
金鸡亭花园小区-金鸡亭,思明,3400
卧龙晓城-莲前西路,思明,2900
禹洲花园三期-莲前西路,思明,4000
合展天玺-莲花五村,思明,8900
怡祥大厦-松柏,思明,7500
永升华庭-松柏,思明,9000
